Empfänger_id,latitude,longitude,Latitude_Radians,Longitude_Radians,Cluster
997,53.242718,8.174763,0.9292607318108503,0.1426765299202092,3
1106,53.21815,7.786704,0.9288319393202203,0.13590362267821254,3
1137,53.369056,7.192901,0.9314657458812349,0.12553980521999264,2
1168,53.183063,8.19527,0.928219555645573,0.1430344445899157,3
1222,53.111667,8.891634,0.9269734603728191,0.15518828918227348,1
1263,53.525961,8.06525,0.9342042547440766,0.14076516749647267,3
1269,53.367524,7.185647,0.9314390074370944,0.125413199036053,2
1273,53.274369,9.297964,0.929813145972399,0.16228008553190204,1
1274,52.680462,8.269872,0.919447513371757,0.14433649511848848,0
1281,52.722637,8.263507,0.9201836059837856,0.14422540491159908,0
1284,52.732237,7.917339,0.920351157591977,0.13818363354655533,0
1292,53.492096,8.595662,0.9336131989928886,0.15002260328856085,1
1293,53.232874,8.693508,0.929088921599284,0.1517303381484672,1
1297,53.044442,8.822854,0.9258001627831659,0.15398785172275178,1
1307,53.102345,7.690675,0.9268107607799483,0.1342276004508149,3
1329,53.265312,7.755837,0.9296550715020458,0.13536489189799944,3
1334,52.824642,8.301824,0.9219639290872824,0.14489416272108574,0
1337,53.312456,7.466793,0.930477889524606,0.13032012241486496,2
1397,53.108459,8.253594,0.9269174702104153,0.14405239042284887,3
